Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],dSoC [%p],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.09999999999990905,493.77,0.0,-10.61,-0.44,0.0,382.0,11.58,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.20000000000004547,493.75,0.0,-11.5,-0.47,0.0,382.0,12.11,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.2999999999999545,493.73,0.0,-12.0,-0.51,0.0,382.0,12.66,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.40000000000009095,493.72,0.0,-12.11,-0.48,0.0,382.09,13.07,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.5,493.7,0.0,-12.61,-0.47,0.0,382.19,13.47,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.599999999999909,493.69,0.0,-13.5,-0.55,0.0,382.2,13.83,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.7000000000000455,493.67,0.0,-13.5,-0.49,0.0,382.2,14.18,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.7999999999999545,493.65,0.0,-14.0,-0.56,0.0,382.25,14.43,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
0.900000000000091,493.64,0.0,-14.0,-0.55,0.0,382.3,14.68,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
1.0,493.62,0.0,-14.5,-0.51,0.0,382.35,15.07,21.0,22.0,0.0,0.84,880.0,0,1,4.5,36.0,26.51
1.099999999999909,493.61,0.0,-14.5,-0.49,0.0,382.4,15.47,21.0,22.0,0.0,0.84,883.86,0,1,4.5,36.0,26.51
1.2000000000000455,493.59,0.0,-14.5,-0.41,0.0,382.4,16.01,21.0,22.0,0.0,0.84,903.85,0,1,4.5,36.0,26.51
1.2999999999999545,493.57,0.0,-15.0,-0.43,0.0,382.4,16.56,21.0,22.0,0.0,0.84,920.0,0,1,4.5,36.0,26.51
1.400000000000091,493.56,0.0,-15.0,-0.51,0.0,382.45,16.51,21.0,22.0,0.0,0.84,920.0,0,1,4.5,36.0,26.51
1.5,493.54,0.0,-15.0,-0.46,0.0,382.5,16.41,21.0,22.0,0.0,0.84,920.0,0,1,4.5,36.0,26.51
1.599999999999909,493.53,0.0,-14.5,-0.39,0.0,382.45,16.12,21.0,22.0,0.0,0.84,920.0,0,1,4.5,36.0,26.51
1.7000000000000455,493.51,0.0,-14.5,-0.45,0.0,382.4,15.82,21.0,22.0,0.0,0.84,920.0,0,1,4.5,36.0,26.51
1.7999999999999545,493.49,0.0,-14.5,-0.46,0.0,382.4,15.61,21.0,22.0,0.0,0.84,920.0,0,1,4.5,36.0,26.51
1.900000000000091,493.48,0.0,-14.5,-0.43,0.0,382.4,15.41,21.0,22.0,0.0,0.84,920.0,0,1,4.5,36.0,26.51
2.0,493.46,0.0,-15.0,-0.52,0.0,382.45,15.26,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.099999999999909,493.45,0.0,-15.0,-0.5,0.0,382.5,15.11,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.2000000000000455,493.43,0.0,-15.0,-0.44,0.0,382.45,15.38,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.2999999999999545,493.41,0.0,-14.5,-0.39,0.0,382.4,15.68,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.400000000000091,493.4,0.0,-14.0,-0.33,0.0,382.35,13.83,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.5,493.38,0.0,-12.79,-0.45,0.0,382.3,11.83,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.599999999999909,493.37,0.0,-12.5,-0.55,0.0,382.25,11.42,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.7000000000000455,493.35,0.0,-12.5,-0.48,0.0,382.2,11.12,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.7999999999999545,493.33,0.0,-11.5,-0.45,0.0,382.2,11.33,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
2.900000000000091,493.32,0.0,-11.61,-0.47,0.0,382.2,11.58,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
3.0,493.3,0.0,-10.89,-0.43,0.0,382.2,11.13,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
3.099999999999909,493.29,0.0,-11.11,-0.33,0.0,382.2,10.63,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
3.2000000000000455,493.27,0.0,-10.89,-0.47,0.0,382.11,9.34,21.0,22.0,0.0,1.0,920.0,0,1,4.5,36.0,26.51
3.2999999999999545,493.25,0.0,-9.0,-0.59,0.0,382.01,7.99,21.0,22.0,0.0,1.0,916.18,0,1,4.5,36.0,26.51
