Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],dSoC [%p],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.1,487.0,25.49,35.53,0.68,0.0,379.89,-13.0,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.2,487.0,25.03,48.03,0.92,0.0,379.79,-14.1,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.3,487.0,24.89,55.97,1.06,0.0,379.7,-15.14,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.4,487.0,24.08,56.09,1.1,0.0,379.7,-15.59,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.5,487.0,22.54,59.38,1.12,0.0,379.7,-16.0,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.6,487.0,20.03,59.0,1.09,0.0,379.7,-16.05,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.7,487.0,17.1,55.97,0.99,0.0,379.7,-16.0,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.8,487.0,15.27,47.75,0.84,0.0,379.75,-14.9,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
0.9,487.0,14.8,36.38,0.65,0.0,379.8,-13.81,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
1.0,487.0,14.95,26.47,0.5,0.0,379.85,-12.86,31.0,32.0,0.0,0.0,0,2.57,0,33.5,14.5,39.84
1.1,487.0,15.74,19.44,0.45,0.0,379.9,-11.95,31.0,32.0,0.0,0.0,0,2.59,0,33.5,14.5,39.84
1.2,487.0,20.08,14.52,0.4,0.0,379.9,-11.4,31.0,32.0,0.0,0.0,0,2.6,0,33.5,14.5,39.84
1.3,487.0,24.4,12.99,0.35,0.0,379.9,-10.97,31.0,32.0,0.0,0.0,0,2.6,0,33.5,14.5,39.84
1.4,487.0,25.98,13.49,0.36,0.0,379.9,-11.67,31.0,32.0,0.0,0.0,0,2.6,0,33.5,14.5,39.84
1.5,487.0,27.2,18.04,0.4,0.0,379.89,-12.42,31.0,32.0,0.0,0.0,0,2.59,0,33.5,14.5,39.84
1.6,487.0,29.38,26.49,0.48,0.0,379.79,-13.72,31.0,32.0,0.0,0.0,0,2.58,0,33.5,14.5,39.84
1.7,487.0,30.63,33.51,0.64,0.0,379.69,-15.05,31.0,32.0,0.0,0.0,0,2.58,0,33.5,14.5,39.84
1.8,487.0,32.18,43.52,0.77,0.0,379.59,-16.65,31.0,32.0,0.0,0.0,0,2.57,0,33.5,14.5,39.84
1.9,487.0,32.18,52.52,0.84,0.0,379.5,-18.19,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
2.0,487.0,32.18,59.02,0.91,0.0,379.45,-19.19,31.0,32.0,0.0,0.0,0,2.56,0,33.5,14.5,39.84
