Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],dSoC [%p],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.1,575.0,0.0,0.0,-0.21,0.0,390.6,-13.1,8.0,9.0,0.0,3.36,4800.0,0,1,-3.0,10.5,10.0
0.2,575.0,0.0,0.0,-0.32,0.0,390.6,-13.1,8.0,9.0,0.0,3.36,4893.47,0,1,-3.0,10.5,10.0
0.3,575.0,0.0,0.0,-0.23,0.0,390.6,-13.1,8.0,9.0,0.0,4.24,4993.46,0,1,-3.0,10.5,10.0
0.4,575.0,0.0,0.0,-0.23,0.0,390.58,-13.17,8.0,9.0,0.0,4.24,5000.0,0,1,-3.0,10.5,10.0
0.5,575.0,0.0,0.0,-0.25,0.0,390.48,-13.47,8.0,9.0,0.0,4.24,5000.0,0,1,-3.0,10.5,10.0
0.6,575.0,0.0,0.0,-0.23,0.0,390.41,-13.87,8.0,9.0,0.0,4.24,5205.58,0,1,-3.0,10.5,10.0
0.7,575.0,0.0,0.0,-0.25,0.0,390.46,-14.67,8.0,9.0,0.0,4.24,5425.57,0,1,-3.0,10.52,10.0
0.8,575.0,0.0,0.0,-0.25,0.0,390.47,-15.3,8.0,9.0,0.0,4.24,5533.43,0,1,-3.0,10.57,10.0
0.9,575.0,0.0,0.0,-0.23,0.0,390.32,-15.3,8.0,9.0,0.0,4.24,5633.42,0,1,-3.0,10.62,10.0
1.0,575.0,0.0,0.0,-0.26,0.0,390.19,-15.44,8.0,9.0,0.0,4.24,5733.42,0,1,-3.0,10.67,10.0
1.1,575.0,0.0,0.0,-0.27,0.0,390.14,-16.09,8.0,9.0,0.0,4.24,5833.41,0,1,-3.0,10.72,10.0
1.2,575.0,0.0,0.0,-0.25,0.0,390.1,-16.57,8.0,9.0,0.0,4.24,5840.0,0,1,-3.0,10.77,10.0
1.3,575.0,0.0,0.0,-0.21,0.0,390.1,-16.42,8.0,9.0,0.0,5.48,5840.0,0,1,-3.0,10.82,10.0
1.4,575.0,0.0,0.0,-0.28,0.0,390.09,-16.27,8.0,9.0,0.0,5.48,6045.47,0,1,-3.0,10.87,10.0
1.5,575.0,0.0,0.0,-0.25,0.0,390.04,-16.12,8.0,9.0,0.0,5.48,6265.46,0,1,-3.0,10.92,10.0
1.6,575.0,0.0,0.0,-0.3,0.0,389.99,-16.18,8.0,9.0,0.0,5.48,6373.39,0,1,-3.0,10.97,10.0
1.7,575.0,0.0,0.0,-0.29,0.0,389.94,-17.04,8.0,9.0,0.0,5.48,6473.38,0,1,-3.0,11.02,10.0
1.8,575.0,0.0,0.0,-0.23,0.0,389.89,-17.72,8.0,9.0,0.0,5.48,6573.38,0,1,-3.0,11.07,10.0
1.9,575.0,0.0,0.0,-0.23,0.0,389.84,-17.82,8.0,9.0,0.0,5.48,6673.37,0,1,-3.0,11.12,10.0
2.0,575.0,0.0,0.0,-0.26,0.0,389.8,-17.94,8.0,9.0,0.0,5.48,6773.36,0,1,-3.0,11.17,10.0
2.1,575.0,0.0,0.0,-0.25,0.0,389.8,-18.14,8.0,9.0,0.0,5.48,6873.35,0,1,-3.0,11.22,10.0
2.2,575.0,0.0,0.0,-0.25,0.0,389.79,-18.34,8.0,9.0,0.0,5.48,6936.01,0,1,-3.0,11.27,10.0
2.3,575.0,0.0,0.0,-0.25,0.0,389.74,-18.54,8.0,9.0,0.0,6.56,6996.0,0,1,-3.0,11.32,10.0
2.4,575.0,0.0,0.0,-0.27,0.0,389.69,-18.73,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.37,10.0
2.5,575.0,0.0,0.0,-0.21,0.0,389.64,-18.88,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.42,10.0
2.6,575.0,0.0,0.0,-0.25,0.0,389.6,-18.98,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.47,10.0
2.7,575.0,0.0,0.0,-0.27,0.0,389.6,-18.88,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.54,10.0
2.8,575.0,0.0,0.0,-0.23,0.0,389.6,-18.81,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.64,10.0
2.9,575.0,0.0,0.0,-0.23,0.0,389.6,-18.86,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.74,10.0
3.0,575.0,0.0,0.0,-0.26,0.0,389.6,-18.9,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.84,10.0
3.1,575.0,0.0,0.0,-0.23,0.0,389.6,-18.9,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,11.94,10.0
3.2,575.0,0.0,0.0,-0.23,0.0,389.6,-18.89,8.0,9.0,0.0,6.56,7000.0,0,1,-3.0,12.04,10.0
3.3,575.0,0.0,0.0,-0.26,0.0,389.6,-18.84,8.0,9.0,0.0,6.95,7000.0,0,1,-3.0,12.14,10.0
3.4,575.0,0.0,0.0,-0.25,0.0,389.6,-18.81,8.0,9.0,0.0,6.94,7000.0,0,1,-3.0,12.24,10.0
3.5,575.0,0.0,0.0,-0.25,0.0,389.6,-18.86,8.0,9.0,0.0,6.93,7000.0,0,1,-3.0,12.34,10.0
3.6,575.0,0.0,0.0,-0.28,0.0,389.6,-18.9,8.0,9.0,0.0,6.92,6981.35,0,1,-3.0,12.44,10.0
3.7,575.0,0.0,0.0,-0.21,0.0,389.6,-18.9,8.0,9.0,0.0,6.91,6961.35,0,1,-3.0,12.52,10.0
3.8,575.0,0.0,0.0,-0.25,0.0,389.59,-18.9,8.0,9.0,0.0,6.89,6922.7,0,1,-3.0,12.57,10.0
3.9,575.0,0.0,0.0,-0.27,0.0,389.54,-18.9,8.0,9.0,0.0,6.88,6882.7,0,1,-3.0,12.62,10.0
4.0,575.0,0.0,0.0,-0.25,0.0,389.51,-18.89,8.0,9.0,0.0,6.87,6880.0,0,1,-3.0,12.67,10.0
4.1,575.0,0.0,0.0,-0.25,0.0,389.56,-18.84,8.0,9.0,0.0,6.86,6880.0,0,1,-3.0,12.72,10.0
4.2,575.0,0.0,0.0,-0.23,0.0,389.59,-18.79,8.0,9.0,0.0,6.85,6842.71,0,1,-3.0,12.77,10.0
4.3,575.0,0.0,0.0,-0.26,0.0,389.54,-18.74,8.0,9.0,0.0,6.83,6802.71,0,1,-3.0,12.82,10.0
4.4,575.0,0.0,0.0,-0.23,0.0,389.51,-18.68,8.0,9.0,0.0,6.82,6800.0,0,1,-3.0,12.87,10.0
4.5,575.0,0.0,0.0,-0.26,0.0,389.56,-18.58,8.0,9.0,0.0,6.81,6800.0,0,1,-3.0,12.92,10.0
4.6,575.0,0.0,0.0,-0.25,0.0,389.6,-18.49,8.0,9.0,0.0,6.8,6762.9,0,1,-3.0,12.97,10.0
