Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],dSoC [%p],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.1,578.0,0.0,0.0,0.16,0.0,389.96,-16.53,25.0,26.0,0.0,5.8,4912.26,0.96,1,26.5,9.5,27.67
0.2,578.0,0.0,0.0,0.17,0.0,390.06,-17.38,25.0,26.0,0.0,5.8,4792.27,0.96,1,26.5,9.5,27.67
0.3,578.0,0.0,0.0,0.16,0.0,390.07,-16.85,25.0,26.0,0.0,5.8,4673.56,0.96,1,26.5,9.5,27.67
0.4,578.0,0.0,0.0,0.13,0.0,390.02,-15.5,25.0,26.0,0.0,5.8,4573.57,0.96,1,26.5,9.5,27.67
0.5,578.0,0.0,0.0,0.15,0.0,390.03,-15.16,25.0,26.0,0.0,5.8,4473.57,0.96,1,26.5,9.5,27.67
0.6,578.0,0.0,0.0,0.22,0.0,390.08,-15.41,25.0,26.0,0.0,5.8,4373.58,0.96,1,26.5,9.5,27.67
0.7,578.0,0.0,0.0,0.22,0.0,390.1,-15.09,25.0,26.0,0.0,5.8,4273.58,0.96,1,26.5,9.5,27.67
0.8,578.0,0.0,0.0,0.17,0.0,390.1,-14.44,25.0,26.0,0.0,5.8,4173.59,0.96,1,26.5,9.5,27.67
0.9,578.0,0.0,0.0,0.17,0.0,390.1,-14.23,25.0,26.0,0.0,5.8,4072.31,0.96,1,26.5,9.5,27.67
1.0,578.0,0.0,0.0,0.16,0.0,390.1,-14.28,25.0,26.0,0.0,5.32,3952.31,0.96,1,26.5,9.5,27.67
1.1,578.0,0.0,0.0,0.13,0.0,390.16,-14.39,25.0,26.0,0.0,5.32,3833.6,0.96,1,26.5,9.5,27.67
1.2,578.0,0.0,0.0,0.19,0.0,390.26,-14.54,25.0,26.0,0.0,5.32,3733.61,0.96,1,26.5,9.5,27.67
1.3,578.0,0.0,0.0,0.15,0.0,390.27,-14.29,25.0,26.0,0.0,5.32,3633.61,0.96,1,26.5,9.5,27.67
1.4,578.0,0.0,0.0,0.09,0.0,390.22,-13.79,25.0,26.0,0.0,5.32,3533.62,0.96,1,26.5,9.54,27.67
1.5,578.0,0.0,0.0,0.17,0.0,390.23,-13.51,25.0,26.0,0.0,5.32,3433.62,0.96,1,26.5,9.59,27.67
1.6,578.0,0.0,0.07,0.18,0.0,390.28,-13.36,25.0,26.0,0.0,5.32,3333.63,0.92,1,26.5,9.64,27.67
1.7,578.0,0.0,0.0,0.18,0.0,390.27,-12.61,25.0,26.0,0.0,5.32,3232.36,0.92,1,26.5,9.69,27.67
1.8,578.0,0.0,0.0,0.15,0.0,390.22,-11.51,25.0,26.0,0.0,5.32,3112.36,0.92,1,26.5,9.74,27.67
1.9,578.0,0.0,0.0,0.13,0.0,390.26,-11.54,25.0,26.0,0.0,5.32,2993.64,0.92,1,26.5,9.79,27.67
2.0,578.0,0.0,0.0,0.13,0.0,390.36,-12.24,25.0,26.0,0.0,5.32,2893.65,0.92,1,26.5,9.84,27.67
2.1,578.0,0.0,0.0,0.15,0.0,390.37,-11.84,25.0,26.0,0.0,5.32,2793.65,0.92,1,26.5,9.89,27.67
2.2,578.0,0.0,0.0,0.18,0.0,390.32,-10.79,25.0,26.0,0.0,5.32,2693.66,0.92,1,26.5,9.94,27.67
2.3,578.0,0.0,0.0,0.13,0.0,390.36,-10.87,25.0,26.0,0.0,5.32,2593.66,0.92,1,26.5,9.99,27.67
2.4,578.0,0.0,0.0,0.13,0.0,390.46,-11.62,25.0,26.0,0.0,5.32,2493.67,0.92,1,26.5,10.0,27.67
2.5,578.0,0.0,0.92,0.15,0.0,390.47,-11.02,25.0,26.0,0.0,5.32,2392.4,0.92,1,26.5,10.0,27.67
2.6,578.0,0.0,0.07,0.08,0.0,390.42,-9.62,25.0,26.0,0.0,5.32,2272.41,0.92,1,26.5,10.0,27.67
2.7,578.0,0.0,0.11,0.07,0.0,390.43,-9.45,25.0,26.0,0.0,5.32,2153.68,0.92,1,26.5,10.0,27.67
2.8,578.0,0.0,1.39,0.03,0.0,390.48,-10.0,25.0,26.0,0.0,5.32,2053.68,0.92,1,26.5,10.0,27.67
2.9,578.0,0.0,1.39,0.07,0.0,390.5,-9.7,25.0,26.0,0.0,5.32,1953.68,0.92,1,26.5,10.0,27.67
3.0,578.0,0.0,1.39,0.09,0.0,390.5,-8.9,25.0,26.0,0.0,5.32,1853.69,0.92,1,26.5,10.0,27.67
3.1,578.0,0.0,0.07,0.16,0.0,390.53,-8.85,25.0,26.0,0.0,5.32,1753.69,0.92,1,26.5,10.0,27.67
3.2,578.0,0.0,0.0,0.17,0.0,390.58,-9.25,25.0,26.0,0.0,5.32,1653.7,0.92,1,26.5,10.0,27.67
3.3,578.0,0.48,0.0,0.16,0.0,390.6,-8.84,25.0,26.0,0.0,5.32,1552.44,0.92,1,26.5,10.0,27.67
3.4,578.0,1.94,1.4,0.15,0.0,390.6,-7.94,25.0,26.0,0.0,5.32,1432.45,0.92,1,26.5,10.04,27.67
3.5,578.0,3.9,2.47,0.07,0.0,390.6,-7.76,25.0,26.0,0.0,5.32,1313.71,0.92,1,26.5,10.09,27.67
3.6,578.0,6.24,10.43,-0.01,0.0,390.6,-8.01,25.0,26.0,0.0,5.32,1213.72,0.92,1,26.5,10.14,27.67
3.7,578.0,6.73,7.5,0.04,0.0,390.6,-7.72,25.0,26.0,0.0,5.32,1113.72,0.92,1,26.5,10.19,27.67
3.8,578.0,6.73,9.93,0.01,0.0,390.6,-7.12,25.0,26.0,0.0,5.32,1013.73,0.92,1,26.5,10.24,27.67
3.9,578.0,6.43,12.03,0.01,0.0,390.63,-6.84,25.0,26.0,0.0,5.32,913.73,0.92,1,26.5,10.29,27.67
4.0,578.0,5.81,12.46,-0.01,0.0,390.68,-6.74,25.0,26.0,0.0,5.32,813.74,0.92,1,26.5,10.34,27.67
4.1,578.0,4.89,13.47,-0.03,0.0,390.7,-6.48,25.0,26.0,0.0,5.32,712.49,0.92,1,26.5,10.39,27.67
4.2,578.0,3.65,14.5,-0.03,0.0,390.7,-6.13,25.0,26.0,0.0,5.32,592.49,0.92,1,26.5,10.44,27.67
4.3,578.0,3.79,12.57,-0.03,0.0,390.73,-5.84,25.0,26.0,0.0,5.32,473.75,0.92,1,26.5,10.49,27.67
4.4,578.0,4.39,11.97,-0.03,0.0,390.78,-5.59,25.0,26.0,0.0,5.32,373.76,0.92,1,26.5,10.54,27.67
4.5,578.0,6.11,11.04,-0.03,0.0,390.8,-5.37,25.0,26.0,0.0,5.32,273.79,0.92,1,26.5,10.59,27.67
4.6,578.0,6.73,10.5,-0.05,0.0,390.8,-5.17,25.0,26.0,0.0,5.32,174.3,0.92,1,26.5,10.64,27.67
4.7,578.0,6.73,12.53,-0.05,0.0,390.8,-4.88,25.0,26.0,0.0,5.32,77.91,0.92,1,26.5,10.69,27.67
4.8,578.0,6.43,13.0,-0.07,0.0,390.8,-4.53,25.0,26.0,0.0,5.32,37.91,0.92,1,26.5,10.74,27.67
4.9,578.0,5.99,11.07,-0.06,0.0,390.8,-4.37,25.0,26.0,0.0,5.32,0.0,0.92,1,26.5,10.79,27.67
5.0,578.0,3.99,10.03,-0.03,0.0,390.8,-4.32,25.0,26.0,0.0,5.32,0.0,0.92,1,26.5,10.84,27.67
5.1,578.0,1.21,9.53,-0.03,0.0,390.83,-4.21,25.0,26.0,0.0,5.32,0.0,0.92,1,26.5,10.89,27.67
5.2,578.0,0.0,8.03,-0.01,0.0,390.88,-4.06,25.0,26.0,0.0,5.32,0.0,0.92,1,26.5,10.94,27.67
5.3,578.0,0.0,4.1,0.04,0.0,390.9,-3.94,25.0,26.0,-0.030000000000001137,5.32,0.0,0.92,1,26.5,10.99,27.67
5.4,578.0,0.0,2.0,0.07,0.0,390.9,-3.84,25.0,26.0,-0.04999999999999716,5.32,0.0,0.92,1,26.5,11.04,27.67
5.5,578.0,0.0,0.17,0.11,0.0,390.9,-3.8,25.0,26.0,-0.01999999999999602,5.32,0.0,0.92,1,26.5,11.09,27.67
