Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],dSoC [%p],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.1,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.2,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.3,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.4,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.5,484.0,0.0,0.0,-0.27,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.6,484.0,0.0,0.0,-0.27,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.7,484.0,0.0,0.0,-0.27,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.8,484.0,0.0,0.0,-0.27,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
0.9,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.0,484.0,0.0,0.0,-0.27,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.1,484.0,0.0,0.0,-0.31,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.2,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.3,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.4,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.5,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.6,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.7,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.8,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
1.9,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.0,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.1,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.2,484.0,0.0,0.0,-0.27,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.3,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.4,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.5,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.6,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.7,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.8,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
2.9,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.0,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.1,484.0,0.0,0.0,-0.27,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.2,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.3,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.4,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.5,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.6,484.0,0.0,0.0,-0.31,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.7,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.8,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
3.9,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.0,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.1,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.2,484.0,0.0,0.0,-0.32,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.3,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.4,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.5,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.6,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.7,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.8,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
4.9,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.0,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.1,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.2,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.3,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.4,484.0,0.0,0.0,-0.29,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.5,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.6,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.7,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.8,484.0,0.0,0.0,-0.3,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
5.9,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
6.0,484.0,0.0,0.0,-0.26,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
6.1,484.0,0.0,0.0,-0.28,0.0,391.3,-1.3,9.0,10.0,0.0,0.0,0.0,0.0,1,2.0,5.0,10.0
